Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20
1.680518687980313430e+01,-9.030051101306860062e+00,1.276642330731632313e+02,9.319819560123913105e-01,-1.832991049188268384e+00,4.642449075529330393e+00,5.572643170611528696e+00,6.555054041383979069e+00,7.522274528084785139e+00,8.455671189084462469e+00,9.293698051444572172e+00,1.021885996137739738e+01,1.115227664478503833e+01,1.213212198595062219e+01,1.295592116686134965e+01,1.405614958393150005e+01,1.496885564770295929e+01,1.583448359838055275e+01,1.685084939491497025e+01,1.779047056132385762e+01
1.324826199975708896e+01,1.023586799639186395e+01,1.148104436313873293e+02,4.315764998375802852e-01,-9.027906003763940257e-01,2.158413383599013802e+00,2.650218646351115037e+00,3.014190189279931875e+00,3.415593579101859678e+00,3.870348571255572079e+00,4.347195006163732778e+00,4.785537091600929216e+00,5.112939552031905421e+00,5.571877186285422390e+00,5.968562359722216826e+00,6.535103628676433907e+00,6.890490113722301579e+00,7.343906252720146632e+00,7.697213050939627266e+00,8.158424713720441090e+00
1.547163026452108170e+01,9.770788079066603515e+00,1.211728210193989099e+02,2.627760699358784313e-01,-6.085593828969738661e-01,1.365846758632207392e+00,1.544702170392672880e+00,1.800358963406902379e+00,2.188738064854908849e+00,2.445673701048222348e+00,2.614679369015440180e+00,2.863605598079600245e+00,3.162255462906735204e+00,3.459257223861228248e+00,3.656541160864549944e+00,3.898632733062113331e+00,4.213444503479304437e+00,4.494341344802333715e+00,4.733448802029404767e+00,4.988126144161586950e+00
1.315597357912661103e+01,-9.856281864748995147e+00,-1.754962689167458478e+01,2.305142643229366184e-01,-4.740899223561103604e-01,1.118946301750911809e+00,1.293147434561658038e+00,1.592324640640827793e+00,1.848422406251997607e+00,2.160712253814444761e+00,2.324917008427236809e+00,2.455854959147221184e+00,2.721280716068273708e+00,2.963417092077837545e+00,3.324196919033514774e+00,3.410338260266615684e+00,3.769673388410444304e+00,4.010837927194037533e+00,4.084183882600057380e+00,4.408278910577434928e+00
5.083360833017463776e+00,9.260482644121541540e+00,-6.175318582424601743e+01,7.465445341986902683e-01,-1.491887845773429255e+00,3.767017831265505379e+00,4.474680550959502234e+00,5.199203933051874671e+00,6.060935703282994247e+00,6.704720227719491277e+00,7.526280528539949444e+00,8.134701809063862754e+00,8.993623125859695477e+00,9.790039695104775674e+00,1.043238008155172558e+01,1.117633836154601390e+01,1.198653326536293307e+01,1.262303779204109944e+01,1.343649071577550203e+01,1.416733178051233288e+01
2.090709843990070027e+01,1.143879624458371325e+00,-6.583712011879516979e+01,2.765917576262908462e-01,-4.774423079073779608e-01,1.404536819890157551e+00,1.720865749315936721e+00,2.021341926306988501e+00,2.115563821150489687e+00,2.528981173452238718e+00,2.694834373797916793e+00,2.985368635134069137e+00,3.289804184648080554e+00,3.554598951394510209e+00,3.960517016221754005e+00,4.223385547941485463e+00,4.433128004567102209e+00,4.778553124533760688e+00,5.046706172196180340e+00,5.167403160368426285e+00
1.993312394959154688e+00,7.411503659275811451e+00,-5.025021616399915736e+00,1.132347538947047205e+00,-2.300774581081083792e+00,5.617021616125807526e+00,6.716216138361979837e+00,8.009717334148421131e+00,9.039839813054181050e+00,1.018026100618141783e+01,1.124911012874628824e+01,1.246493848657735448e+01,1.360362624317662217e+01,1.468943644862546094e+01,1.592006496827038475e+01,1.700713078442270643e+01,1.809337385936344234e+01,1.927193468881881344e+01,2.032611294848536687e+01,2.154805899396825808e+01
-1.477055854433348969e-01,3.742020730220260383e+00,1.010298825439726755e+02,3.747794139245858025e-01,-7.855468086779684445e-01,1.818203901498163910e+00,2.176871706304664755e+00,2.641709459271490701e+00,2.908982893620306598e+00,3.427181031124954202e+00,3.721308254266399551e+00,4.022893630045389912e+00,4.551040827764069263e+00,4.812410209283588536e+00,5.150231309562748550e+00,5.565235021473727173e+00,5.963674639119127541e+00,6.441688469332410349e+00,6.746913081838428639e+00,7.220628112784588382e+00
1.954516898479965192e+01,4.927589234482440794e+00,4.209614771590172921e+01,8.302366603049782245e-01,-1.747686692592433033e+00,4.226793603528559373e+00,5.054550808459379319e+00,5.881741469348016338e+00,6.699161707332739191e+00,7.491876084862353125e+00,8.304974036714853014e+00,9.137998201645865848e+00,9.903498398942298664e+00,1.089196729705925826e+01,1.167666843810090960e+01,1.244729676646153038e+01,1.324157927887727304e+01,1.406614749109203544e+01,1.501871590802263867e+01,1.573497343320507191e+01
2.015790692551616203e+01,-4.198383155769074726e+00,-9.156227130688610316e+01,6.871267621222079125e-01,-1.393029976870681530e+00,3.409398943437776719e+00,4.171051502437851610e+00,4.904317488984235140e+00,5.539320051940686440e+00,6.108377713487270100e+00,6.901435873897294293e+00,7.530527568199571142e+00,8.147484554605993523e+00,8.966886262276728914e+00,9.519828926406216141e+00,1.020774980951921052e+01,1.099446344190035241e+01,1.160173950030726786e+01,1.241674078444930807e+01,1.296475007435136817e+01
