Sa,SaRatio,Ds,SDR1,SDR2,SDR3,SDDR4,SDR5,SDR6,SDR7,SDR8,SDR9,SDR10,SDR11,SDR12,PFA1,PFA2,PFA3,PFA4,PFA5,PFA6,PFA7,PFA8,PFA9,PFA10,PFA11,PFA12
0.169,1.171802579,9.345,0.00485282,0.00506249,0.00371018,0.00320418,0.00322268,0.00369046,0.00658656,0.00942978,0.00955432,0.00682271,0.00366523,0.00166605,0.195035483,0.22719684,0.218141673,0.209281792,0.235027195,0.238894846,0.240449883,0.218027454,0.219953898,0.244269619,0.240455581,0.29030044
0.169,1.003347947,12.748,0.00577151,0.00779084,0.00731659,0.0066947,0.00638655,0.00573766,0.00563735,0.00572263,0.00564227,0.00480501,0.00279796,0.00149349,0.363708884,0.322121212,0.284527325,0.277953898,0.242103341,0.246512303,0.249714582,0.232553225,0.223649055,0.25298187,0.306068376,0.287143227
0.169,1.400104507,8.62,0.00610021,0.00845167,0.00798253,0.00685588,0.00588132,0.00493514,0.00420735,0.00388502,0.0034909,0.00279613,0.00209624,0.00133907,0.186283087,0.202902098,0.17195079,0.164553484,0.158800829,0.168393939,0.196790728,0.178794872,0.177833204,0.156196063,0.18721756,0.227705517
0.169,1.374257227,5.265,0.0109001,0.0130803,0.0113974,0.00809284,0.00515621,0.00413092,0.00452019,0.00399019,0.00301293,0.00220157,0.0016413,0.00108121,0.139091686,0.152297073,0.130299404,0.12427454,0.1338964,0.138488215,0.125543642,0.147630407,0.165846154,0.15537555,0.156002849,0.176030044
0.169,1.898768698,8.61,0.0048869,0.00629252,0.00568994,0.00423072,0.00371863,0.00387497,0.00497938,0.00506046,0.00401462,0.00291005,0.00221384,0.00139972,0.202392644,0.194489769,0.199763274,0.22437296,0.205477855,0.207932142,0.217679876,0.191808858,0.204361305,0.174282828,0.199285418,0.244429422
0.169,1.336133358,10.17,0.00996276,0.0136325,0.0126228,0.0094146,0.00594547,0.00429095,0.00523764,0.00499166,0.0038135,0.00279822,0.00207314,0.0013167,0.118765605,0.139274022,0.141844859,0.134968661,0.129904688,0.140912717,0.148427609,0.158311577,0.1590777,0.164123543,0.182593629,0.219705776
0.169,1.145012595,5.74,0.00577947,0.00776629,0.00725961,0.0054817,0.00358949,0.00386365,0.00561131,0.00731308,0.00644291,0.00412132,0.00322745,0.00188457,0.345900026,0.323706294,0.295848226,0.256486402,0.256378658,0.26010619,0.253432789,0.209616421,0.290888371,0.261411551,0.272691013,0.328186998
0.169,2.071563805,4.392,0.00717182,0.00835784,0.00567361,0.00477082,0.00508943,0.00584543,0.00822527,0.00819507,0.00723188,0.00553487,0.00317548,0.00156104,0.278161098,0.312030562,0.303703704,0.263737374,0.285988086,0.304413364,0.243278943,0.254362341,0.235121471,0.223668739,0.237882932,0.277894328
0.169,1.164034751,6.965,0.00730681,0.0107384,0.0102566,0.00821419,0.00561504,0.00379075,0.00473035,0.00539519,0.00447337,0.00283459,0.00214015,0.00137937,0.204735302,0.224914271,0.211879047,0.216154364,0.21677467,0.17581093,0.154362082,0.158531728,0.200824657,0.216795649,0.19687827,0.273610464
0.169,1.044580446,14.015,0.00895915,0.0120316,0.0117437,0.00890712,0.00520917,0.00345578,0.00387051,0.00370492,0.00310162,0.00235294,0.00173178,0.00112191,0.14675913,0.127460761,0.123418026,0.1504662,0.16707511,0.158108003,0.1482072,0.13441699,0.134002331,0.152785807,0.163969438,0.181778296
0.169,1.445229931,7.92,0.00487613,0.00573692,0.00459993,0.00403268,0.00402534,0.00443787,0.00575382,0.00561361,0.00434945,0.0031373,0.00228696,0.0014197,0.136783735,0.145166019,0.165668739,0.190850298,0.195164724,0.17567366,0.144086247,0.173565916,0.164560477,0.185376586,0.189463351,0.23903367
0.169,1.713022701,4.425,0.00715269,0.00929567,0.0070229,0.00529022,0.00481367,0.0051204,0.00585371,0.00499057,0.00382884,0.00318134,0.00243754,0.00149505,0.316397306,0.306581197,0.283149443,0.264485884,0.284830355,0.211121471,0.241206423,0.24196892,0.186350945,0.180839938,0.244058534,0.278163688
0.169,2.105514763,4.255,0.00398024,0.00493186,0.00457638,0.00432148,0.00430313,0.00485637,0.00578164,0.00556023,0.00423623,0.00308455,0.00225344,0.00142358,0.146025382,0.1396374,0.133874903,0.125604507,0.113920228,0.121156695,0.151566952,0.170048174,0.168631184,0.173660969,0.197455063,0.245671847
0.169,2.075892418,8.5,0.00557874,0.00652826,0.00538537,0.00492387,0.00500659,0.00446057,0.00506806,0.00697829,0.00768544,0.00809582,0.00668854,0.00275108,0.604050764,0.52993784,0.463856514,0.42017612,0.395845636,0.433128723,0.493377363,0.553146853,0.367065527,0.323651904,0.353071743,0.414690495
0.169,2.082893955,5.075,0.00360932,0.00465057,0.00499086,0.00542684,0.00605039,0.00863858,0.0115814,0.0114362,0.00876241,0.00571422,0.00345571,0.00188858,0.402162652,0.379287749,0.339119399,0.301908832,0.292173012,0.326342916,0.297094017,0.282227402,0.32030044,0.337215747,0.244040663,0.391357161
0.169,1.461326881,6.225,0.0107939,0.012891,0.0112818,0.00852141,0.00525113,0.00336113,0.00291906,0.00258862,0.00225882,0.00194387,0.00163907,0.00114321,0.272173012,0.184268842,0.144170163,0.155421911,0.154845118,0.178458689,0.186749806,0.16783424,0.176718726,0.140252266,0.142535095,0.208906501
0.169,1.141878256,21.785,0.00522043,0.00685185,0.00628381,0.00500153,0.00424259,0.00467287,0.00617736,0.00701159,0.00586726,0.00402708,0.00299923,0.00165873,0.337490287,0.298619529,0.301333851,0.264773375,0.226379176,0.240656566,0.303965294,0.253120694,0.254108262,0.246568506,0.241206164,0.316959337
0.169,1.214231394,13.76,0.00737994,0.00945128,0.00792279,0.00570545,0.00438251,0.00370417,0.00378567,0.00340242,0.00282468,0.0021821,0.0016924,0.0011056,0.131225848,0.138034965,0.170796426,0.182754986,0.169731935,0.139821031,0.137833463,0.15613727,0.160495467,0.147525512,0.151937581,0.183245273
0.169,1.739762969,6.995,0.00780896,0.012,0.0111572,0.00770232,0.00464541,0.00359664,0.00403501,0.00389391,0.00358824,0.0031967,0.00229067,0.00141002,0.289494949,0.183034447,0.219141414,0.196961668,0.177576017,0.185883191,0.156420098,0.179246827,0.198111629,0.198313131,0.226414918,0.267803678
0.169,1.713928238,4.59,0.00642424,0.00921623,0.00901659,0.00713666,0.00521138,0.00466366,0.00486156,0.00419287,0.00312498,0.00221149,0.00164186,0.00106118,0.108242942,0.111480963,0.110415695,0.119646465,0.124937322,0.121839161,0.124172235,0.137628076,0.150872831,0.149461538,0.159940948,0.170016835
0.169,1.996230059,23.856,0.00541918,0.00723147,0.00615799,0.00453855,0.00356066,0.00312154,0.00282414,0.00268411,0.00258388,0.00215949,0.00166713,0.00108701,0.096361823,0.108903652,0.113699042,0.131413882,0.142407148,0.144212639,0.13342994,0.148697488,0.145996892,0.135027195,0.148564362,0.180910904
0.169,1.972597616,8.69,0.00512015,0.00608336,0.00462372,0.00382296,0.00370845,0.00355564,0.00385541,0.00345543,0.00311971,0.00287203,0.00228203,0.00141898,0.170291893,0.188228179,0.189435379,0.157679358,0.162709661,0.219145817,0.244271173,0.214991194,0.164906501,0.149768454,0.200273763,0.280867651
