Sa,SaRatio,Ds,SDR1,SDR2,SDR3,SDDR4,SDR5,SDR6,SDR7,SDR8,SDR9,SDR10,SDR11,SDR12,PFA1,PFA2,PFA3,PFA4,PFA5,PFA6,PFA7,PFA8,PFA9,PFA10,PFA11,PFA12
0.1,0.768863523,2.86,0.00612213,0.00719284,0.00492839,0.00394571,0.00332662,0.0029951,0.00313285,0.00331503,0.00289928,0.00231746,0.0020683,0.00139919,0.206145817,0.193706294,0.202356384,0.173540016,0.200584305,0.212586377,0.240519555,0.217120176,0.153638695,0.148966589,0.178624968,0.298057498
0.2,0.768863523,2.86,0.0327098,0.0336247,0.026814,0.0125895,0.00622266,0.0038182,0.00437718,0.00378196,0.00285488,0.00272287,0.00268916,0.00166453,0.413794354,0.367412587,0.381036001,0.282079772,0.297319347,0.314027454,0.264167314,0.225179487,0.214003367,0.191461279,0.218969697,0.333061383
0.21,0.768863523,2.86,0.0365356,0.0378463,0.0303388,0.0132763,0.00633901,0.00374847,0.00428094,0.00377705,0.00285804,0.0026486,0.00266444,0.00166893,0.437741518,0.403519814,0.451828542,0.3202072,0.305617716,0.314516965,0.26017871,0.217156695,0.211855219,0.197249417,0.228144263,0.337296037
0.22,0.768863523,2.86,0.0406382,0.0420629,0.0337358,0.0137209,0.00615361,0.00363751,0.00410292,0.00368572,0.00281313,0.00257352,0.00263622,0.00167365,0.441437451,0.407371147,0.483727014,0.360621601,0.306912717,0.311085211,0.253961668,0.210780109,0.210783994,0.207828283,0.231332038,0.342323232
0.23,0.768863523,2.86,0.0451188,0.0464507,0.0369703,0.0138312,0.00597525,0.00357068,0.00392596,0.003541,0.00280934,0.0025051,0.00261181,0.00167756,0.468210308,0.407345247,0.499362859,0.379440559,0.309189329,0.311274281,0.251135457,0.222685315,0.221617716,0.232421652,0.233276353,0.348016058
0.24,0.768863523,2.86,0.0519707,0.0519444,0.0395053,0.0132829,0.00588195,0.00346065,0.00412341,0.00414492,0.00307911,0.0027784,0.00298919,0.00181365,0.465848226,0.412535613,0.492432012,0.428417508,0.307226107,0.306304066,0.28955193,0.240333851,0.274283864,0.26993784,0.244857809,0.352851593
0.25,0.768863523,2.86,0.0747739,0.0735221,0.0512974,0.0129871,0.00578578,0.00355371,0.00438824,0.0043781,0.00317851,0.00266631,0.00274561,0.00168322,0.435796426,0.48982906,0.40039109,0.374555815,0.307252007,0.305866356,0.278153328,0.253891997,0.261587672,0.269290339,0.21689899,0.358839679
0.1,0.840518228,4.7,0.00540929,0.00588669,0.00457544,0.00361618,0.00304299,0.00288343,0.00310067,0.00328264,0.00306769,0.00251004,0.0019445,0.00125622,0.167104118,0.183141932,0.171054908,0.190569283,0.191674696,0.154215488,0.162720021,0.149571096,0.163336182,0.156933955,0.177617457,0.217390313
0.2,0.840518228,4.7,0.0221471,0.0226719,0.0191042,0.0145923,0.0109433,0.00699073,0.0069841,0.0068436,0.00560371,0.00426858,0.00282852,0.00160885,0.317008547,0.30048433,0.243137529,0.243247863,0.19282129,0.247370888,0.269308469,0.213483553,0.208345247,0.213659415,0.228933437,0.277694898
0.3,0.840518228,4.7,0.0400097,0.0390546,0.0322297,0.021086,0.0147453,0.0105086,0.00870665,0.00697308,0.00672245,0.0062004,0.00431006,0.00215536,0.441662782,0.370774411,0.321807822,0.36034706,0.311481481,0.264384874,0.273892774,0.301566952,0.290839161,0.228223776,0.284504015,0.328655789
