lnSa,lnSaRatio,lnDs,lnSDR1,lnSDR2,lnSDR3,lnSDR4,lnSDR5,lnSDR6,lnSDR7,lnSDR8,lnSDR9,lnSDR10,lnSDR11,lnSDR12,lnPFA1,lnPFA2,lnPFA3,lnPFA4,lnPFA5,lnPFA6,lnPFA7,lnPFA8,lnPFA9,lnPFA10,lnPFA11,lnPFA12
-2.302585093,-0.262841799,1.050821625,-5.095845204,-4.934669192,-5.312742916,-5.535126366,-5.705798505,-5.810777659,-5.765812146,-5.709288606,-5.843292849,-6.067283521,-6.181028265,-6.571861781,-1.579171511,-1.641412216,-1.597724859,-1.751347066,-1.606520647,-1.548406893,-1.424953883,-1.527304272,-1.873151569,-1.904033233,-1.722466822,-1.210468865
-1.609437912,-0.262841799,1.050821625,-3.420080552,-3.392494363,-3.61883114,-4.374892146,-5.079557811,-5.567976172,-5.431350598,-5.577512885,-5.858725468,-5.906068808,-5.918526402,-6.398212478,-0.882386158,-1.001269847,-0.964861418,-1.265565369,-1.212948475,-1.158274864,-1.331172611,-1.490857475,-1.54176353,-1.653069689,-1.518821929,-1.099428473
-1.560647748,-0.262841799,1.050821625,-3.309468151,-3.274222058,-3.495327858,-4.321774788,-5.061032674,-5.586407522,-5.453582667,-5.578811997,-5.857619204,-5.93372408,-5.927761375,-6.395572576,-0.826126684,-0.907529687,-0.794452503,-1.138786993,-1.185420252,-1.156717262,-1.346386538,-1.527136089,-1.551852167,-1.623286275,-1.477777118,-1.086794286
-1.514127733,-0.262841799,1.050821625,-3.203046768,-3.168589162,-3.389195691,-4.288835061,-5.090716378,-5.616455897,-5.496056364,-5.603289386,-5.873457537,-5.962480667,-5.938409206,-6.392748409,-0.817718943,-0.8980306,-0.726234552,-1.019926067,-1.181191881,-1.167688414,-1.370571937,-1.556939826,-1.556921395,-1.571043103,-1.463901207,-1.071999865
-1.46967597,-0.262841799,1.050821625,-3.098456268,-3.069363744,-3.297640391,-4.280828369,-5.120129341,-5.634999225,-5.540144372,-5.643346106,-5.874805699,-5.989426625,-5.947711811,-6.390414922,-0.758837708,-0.89809418,-0.694422275,-0.969057324,-1.173801475,-1.167080823,-1.381762816,-1.501995648,-1.506801381,-1.459202091,-1.455531464,-1.055506657
-1.427116356,-0.262841799,1.050821625,-2.957075181,-2.957581363,-3.231320439,-4.321277785,-5.135866939,-5.666298846,-5.491074788,-5.485871791,-5.783114685,-5.885880057,-5.812752831,-6.31241389,-0.763895393,-0.885432742,-0.708398875,-0.847657073,-1.180171298,-1.183176991,-1.23942062,-1.425726276,-1.293591709,-1.309563569,-1.407077608,-1.041707727
-1.386294361,-0.262841799,1.050821625,-2.593286385,-2.610169238,-2.97011521,-4.343798722,-5.152352096,-5.639763151,-5.428827043,-5.431140439,-5.751342745,-5.927059785,-5.897752006,-6.387046653,-0.830580058,-0.713698806,-0.915313485,-0.982014448,-1.180086998,-1.184607018,-1.279582778,-1.370846311,-1.340985786,-1.311965154,-1.528323518,-1.024879567
-2.302585093,-0.173736639,1.547562509,-5.219637433,-5.135061409,-5.38705241,-5.622337059,-5.794914694,-5.848774721,-5.776137062,-5.719107302,-5.786830444,-5.98745659,-6.242750404,-6.679648067,-1.7891382,-1.697493842,-1.765770675,-1.65773946,-1.651955636,-1.869404382,-1.815724218,-1.899983441,-1.811944736,-1.851930231,-1.728123159,-1.526060864
-1.609437912,-0.173736639,1.547562509,-3.810048717,-3.786629007,-3.957847073,-4.227261287,-4.515027882,-4.963170293,-4.964119142,-4.98444137,-5.184326401,-5.45647406,-5.868001672,-6.432235641,-1.148826543,-1.202359673,-1.414128033,-1.413674343,-1.645991478,-1.396866498,-1.311897831,-1.544195484,-1.568558734,-1.54337205,-1.474323986,-1.281232257
-1.203972804,-0.173736639,1.547562509,-3.218633354,-3.242794612,-3.434866891,-3.859145966,-4.216830891,-4.555561309,-4.743668177,-4.965698258,-5.002302608,-5.083141473,-5.446803454,-6.139797516,-0.817208625,-0.992161458,-1.133800738,-1.020687656,-1.166415394,-1.330349381,-1.295018585,-1.198763224,-1.234984876,-1.477428658,-1.257007913,-1.11274431
-1.171182982,-0.173736639,1.547562509,-3.107054972,-3.131043535,-3.324578066,-3.825427965,-4.189840559,-4.53635333,-4.745929926,-4.963702568,-4.98495439,-5.051582296,-5.402247794,-6.11143347,-0.759081132,-0.990423609,-1.083650956,-0.982754615,-1.119060811,-1.292327174,-1.278001086,-1.150879354,-1.195316601,-1.473220414,-1.133430585,-1.099490685
-1.139434283,-0.173736639,1.547562509,-2.999635883,-3.024938658,-3.230819366,-3.791359677,-4.167276611,-4.515128405,-4.750742928,-4.957582798,-4.970207137,-5.02152386,-5.357511262,-6.081901421,-0.73181855,-0.97467024,-1.079968215,-0.948365323,-1.073620291,-1.294413568,-1.259158668,-1.123806581,-1.16365858,-1.493403792,-1.088415809,-1.090271105
-1.108662625,-0.173736639,1.547562509,-2.884051374,-2.915186923,-3.194478378,-3.764996212,-4.148144153,-4.495455165,-4.757749268,-4.955627358,-4.959295526,-4.994508532,-5.315451318,-6.053714489,-0.698002251,-0.923706141,-1.038563727,-0.91590878,-1.035692209,-1.28790447,-1.239071831,-1.107815347,-1.135218243,-1.443427546,-1.087493293,-1.084248194
-1.078809661,-0.173736639,1.547562509,-2.605195372,-2.700555358,-3.185501495,-3.74419768,-4.130801099,-4.478185174,-4.766727225,-4.957112063,-4.952340443,-4.971229021,-5.277987427,-6.027000537,-0.656719597,-0.873363727,-0.999593518,-0.886129873,-0.999917295,-1.225607203,-1.220845772,-1.084677201,-1.111610149,-1.475782206,-1.149971016,-1.074075087
