Sa,SaRatio,Ds,SDR1,SDR2,SDR3,SDR4,SDR5,SDR6,SDR7,SDR8,SDR9,SDR10,SDR11,SDR12,PFA1,PFA2,PFA3,PFA4,PFA5,PFA6,PFA7,PFA8,PFA9,PFA10,PFA11,PFA12
0.169,0.768863523,2.86,0.024467622,0.025430823,0.020029461,0.009909925,0.005324888,0.003563039,0.003991438,0.003637212,0.002868644,0.002597193,0.002496693,0.001582275,0.349423308,0.313563636,0.32564532,0.248432448,0.267331484,0.28258072,0.256836509,0.222681101,0.195290319,0.178287925,0.206462831,0.322210179
0.169,0.840518228,4.7,0.016958379,0.017468485,0.014600284,0.011189703,0.008494204,0.005717467,0.005780237,0.005739702,0.004817544,0.003723433,0.002554474,0.001499535,0.270538174,0.264108187,0.220791916,0.226917503,0.192465846,0.218492714,0.23626605,0.193670691,0.194392437,0.196074522,0.213025483,0.259000477
0.169,0.753666869,8.32,0.029659491,0.02901804,0.019330893,0.009641212,0.005802118,0.003798681,0.004054877,0.005426649,0.006508608,0.006568918,0.004657092,0.002133437,0.629675551,0.495235379,0.42720575,0.358608107,0.318468389,0.29373633,0.309887871,0.303735354,0.300744993,0.257670034,0.313637063,0.37352116
0.169,0.79408316,15.14,0.01029909,0.012009567,0.009716145,0.006272074,0.004019577,0.003136987,0.002870041,0.002772581,0.002841552,0.002474707,0.001871722,0.001173586,0.138677358,0.147442701,0.168653536,0.167382253,0.151732463,0.170870945,0.175122199,0.153997819,0.134426576,0.150468912,0.168047812,0.207228065
0.169,0.841479126,27.795,0.016507385,0.018560368,0.015314121,0.01000027,0.005552857,0.00364081,0.003575726,0.003312602,0.003173388,0.002781343,0.002097116,0.001304813,0.12900683,0.167466123,0.156590712,0.150713885,0.148040902,0.169959728,0.179755558,0.163988943,0.149458185,0.154020792,0.186360161,0.23163057
0.169,0.959858552,50.2,0.006165564,0.009205324,0.008958871,0.007387074,0.006005472,0.005669212,0.007533001,0.011801403,0.012713502,0.010988601,0.007349918,0.002276834,0.28715295,0.275590448,0.285368938,0.305118578,0.29126497,0.289602906,0.28306099,0.261468141,0.244021857,0.254632849,0.292127904,0.306324432
0.169,1.054027699,2.52,0.009790737,0.01056372,0.00873267,0.006661155,0.005249301,0.004562072,0.005805056,0.007064573,0.006610073,0.00530438,0.003318109,0.001834438,0.917896374,0.719250894,0.640056773,0.552821134,0.454399016,0.460309816,0.336504455,0.351352551,0.321814323,0.273413219,0.252902171,0.322643461
0.169,1.03725404,4.71,0.013535678,0.01414466,0.01160454,0.008569673,0.005823678,0.004342193,0.004030485,0.003844087,0.003056312,0.002356834,0.001790614,0.001164039,0.216391103,0.210379555,0.202485491,0.201554079,0.194290435,0.217541217,0.164538226,0.168103328,0.194083277,0.177660298,0.177137848,0.22057821
0.169,0.999480453,8.24,0.008461007,0.010897124,0.011054846,0.010100473,0.008297544,0.006592646,0.006365953,0.005930187,0.004702515,0.003241082,0.0023018,0.001408035,0.253632209,0.24249087,0.233699718,0.237362396,0.219558156,0.221587504,0.195601497,0.173932908,0.187194499,0.191724128,0.197638135,0.248553276
0.169,0.939550406,15.66,0.005954615,0.0086941,0.008895949,0.008422076,0.007739681,0.006763613,0.006383448,0.005570122,0.004295491,0.003266541,0.00230329,0.001421868,0.160249417,0.158022935,0.183788094,0.185276058,0.16708495,0.177150033,0.171401389,0.207706219,0.192286894,0.168272132,0.188520596,0.241771859
