#Num,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PID-4-1,1-PID-5-1,1-PID-6-1,1-PID-7-1,1-PID-8-1,1-PID-9-1,1-PID-10-1,1-PID-11-1,1-PID-12-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-PFA-4-1,1-PFA-5-1,1-PFA-6-1,1-PFA-7-1,1-PFA-8-1,1-PFA-9-1,1-PFA-10-1,1-PFA-11-1,1-PFA-12-1,1-PRD-1-1
1,6.96E-03,8.96E-03,7.94E-03,6.15E-03,4.83E-03,4.04E-03,4.03E-03,3.97E-03,3.87E-03,3.67E-03,3.02E-03,1.89E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.96E-03
2,1.03E-02,1.19E-02,1.03E-02,7.81E-03,5.61E-03,4.23E-03,4.06E-03,4.50E-03,4.12E-03,3.37E-03,2.52E-03,1.49E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.19E-02
3,1.46E-02,1.64E-02,1.27E-02,7.90E-03,5.29E-03,3.97E-03,4.08E-03,4.46E-03,4.53E-03,3.91E-03,2.76E-03,1.53E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.64E-02
4,8.41E-03,1.05E-02,8.91E-03,6.65E-03,5.07E-03,4.16E-03,3.99E-03,3.93E-03,4.10E-03,4.04E-03,3.23E-03,2.02E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.05E-02
5,8.11E-03,9.58E-03,7.70E-03,5.28E-03,4.26E-03,4.00E-03,4.39E-03,5.86E-03,5.82E-03,5.23E-03,3.99E-03,2.30E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.58E-03
6,1.09E-02,1.27E-02,1.06E-02,7.14E-03,4.68E-03,3.52E-03,3.16E-03,2.94E-03,2.87E-03,2.39E-03,1.80E-03,1.16E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.27E-02
7,7.62E-03,1.00E-02,9.04E-03,7.77E-03,7.07E-03,6.13E-03,7.32E-03,8.48E-03,7.56E-03,4.87E-03,3.41E-03,1.83E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-02
8,6.06E-03,8.65E-03,8.71E-03,8.03E-03,7.21E-03,6.28E-03,5.98E-03,5.27E-03,4.08E-03,3.05E-03,2.13E-03,1.32E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.71E-03
9,8.78E-03,1.09E-02,9.14E-03,6.69E-03,5.72E-03,5.14E-03,5.82E-03,6.96E-03,6.23E-03,4.57E-03,3.28E-03,1.87E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.09E-02
10,3.81E-03,4.51E-03,4.61E-03,4.68E-03,4.61E-03,4.63E-03,5.37E-03,6.13E-03,5.92E-03,4.54E-03,2.80E-03,1.52E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.13E-03
